capture_index,point_direction,point_number,label,captured_at_iso,samples_requested,samples_captured,valid_samples,valid_fraction,mean_distance_cm,std_distance_cm,min_distance_cm,max_distance_cm,mean_pulse_us,std_pulse_us,min_pulse_us,max_pulse_us
0,out,0,out_p00,2026-03-13T15:17:53,25,25,24,0.9600,25.9067,0.1998,25.7200,26.2100,1503.3600,11.7007,1492.0000,1520.0000
1,out,1,out_p01,2026-03-13T15:18:09,25,25,23,0.9200,25.9391,0.2103,25.7200,26.2800,1504.8000,12.0554,1492.0000,1524.0000
2,out,2,out_p02,2026-03-13T15:18:14,25,25,24,0.9600,25.9500,0.2561,25.7200,26.6900,1505.7600,14.7006,1492.0000,1548.0000
3,out,3,out_p03,2026-03-13T15:18:17,25,25,17,0.6800,26.2294,0.1901,25.7900,26.6900,1519.5200,10.3486,1496.0000,1548.0000
4,out,4,out_p04,2026-03-13T15:18:23,25,25,21,0.8400,26.0300,0.2541,25.4500,26.3400,1511.3600,13.8891,1476.0000,1528.0000
5,out,5,out_p05,2026-03-13T15:18:29,25,25,23,0.9200,25.2335,0.7671,23.6600,26.6900,1469.1200,53.0600,1372.0000,1620.0000
6,out,6,out_p06,2026-03-13T15:18:35,25,25,21,0.8400,23.0614,4.5721,15.5200,32.6900,1344.6400,282.4976,900.0000,1896.0000
7,out,7,out_p07,2026-03-13T15:18:45,25,25,21,0.8400,17.4081,1.1995,15.0300,19.1700,1005.9200,73.2404,852.0000,1112.0000
8,out,8,out_p08,2026-03-13T15:19:00,25,25,23,0.9200,30.1287,37.4845,11.6600,140.9000,2128.4800,2510.3222,676.0000,8172.0000
9,out,9,out_p09,2026-03-13T15:19:07,25,25,24,0.9600,10.7433,0.5902,9.9300,12.2100,622.2400,33.7457,576.0000,708.0000
10,ret,9,ret_p09,2026-03-13T15:19:25,25,25,21,0.8400,16.0043,24.9870,9.9300,125.0300,879.3600,1327.9903,576.0000,7252.0000
11,ret,8,ret_p08,2026-03-13T15:19:48,25,25,22,0.8800,6.6995,0.5226,6.0700,8.2800,389.2800,35.5100,352.0000,480.0000
12,ret,7,ret_p07,2026-03-13T15:19:52,25,25,18,0.7200,5.9683,0.4046,5.4500,7.1000,343.6800,20.3935,316.0000,412.0000
13,ret,6,ret_p06,2026-03-13T15:19:56,25,25,22,0.8800,5.8441,0.0300,5.7900,5.8600,339.0400,1.7436,336.0000,340.0000
14,ret,5,ret_p05,2026-03-13T15:19:59,25,25,19,0.7600,7.1563,1.0498,5.7900,8.2100,416.4800,60.3912,336.0000,476.0000
15,ret,4,ret_p04,2026-03-13T15:20:06,25,25,17,0.6800,9.8541,1.5813,8.2100,13.7200,577.7600,94.4181,476.0000,796.0000
16,ret,3,ret_p03,2026-03-13T15:20:09,25,25,24,0.9600,11.3717,1.1449,9.1000,12.6200,661.2800,65.5410,528.0000,732.0000
17,ret,2,ret_p02,2026-03-13T15:20:13,25,25,21,0.8400,13.2357,4.1826,10.4100,27.9300,794.0800,284.5420,604.0000,1620.0000
18,ret,1,ret_p01,2026-03-13T15:20:19,25,25,20,0.8000,24.6700,4.4860,14.2800,29.5900,1427.6800,262.8458,828.0000,1716.0000
